"lesson_id","user_id","team_id","instructor_id","is_own","representative_name"
55,15,30,82,0,고정원
57,1,30,80,1,고정원
58,34,30,79,1,송둔석
59,1,30,78,0,더미레슨
62,37,29,77,0,최지찬
63,37,24,52,0,최지찬
64,37,25,113,0,최지찬
68,37,29,74,0,최지찬
82,37,29,75,0,최지찬
85,37,29,76,0,최지찬
86,37,28,70,0,최지찬
87,37,28,71,0,최지찬
88,37,28,72,0,최지찬
97,14,28,73,0,장승호
100,14,27,69,0,장승호
101,14,27,66,0,장승호
104,14,27,67,0,장승호
105,37,22,45,0,최지찬
106,14,22,46,0,테스트
107,37,24,55,0,최지찬
109,37,24,53,0,최지찬
110,34,24,54,0,송둔석
111,34,23,48,0,송둔석
112,34,24,52,0,송둔석
117,48,22,47,0,최지찬
118,49,23,49,0,최지찬
119,50,23,50,0,최지찬
135,28,24,56,0,더미유저3
138,37,23,113,0,최지찬
140,37,23,113,0,최지찬
147,35,23,48,0,승민이
148,35,23,49,0,승민이
150,35,24,52,0,승민이
151,35,22,42,0,승민이
152,35,23,50,0,승민이
153,35,23,51,0,승민이
154,35,22,44,0,승민이
155,35,24,52,0,승민이
156,35,29,74,0,승민이
157,35,24,53,0,승민이
158,35,29,75,0,승민이
159,35,31,120,0,승민이
160,37,29,76,0,최지찬
161,37,30,113,0,최지찬
162,34,30,113,0,송둔석
163,34,24,113,0,송둔석
164,34,25,113,0,송둔석
165,34,25,113,0,송둔석
166,34,30,113,0,송둔석
167,34,24,113,0,송둔석
168,34,30,113,0,송둔석
169,34,25,113,0,송둔석
170,34,24,113,0,송둔석
171,34,25,113,0,송둔석
172,34,30,113,0,송둔석
173,34,25,113,0,송둔석
174,34,24,113,0,송둔석
175,37,30,113,0,최지찬
176,15,24,113,0,고정원
177,37,29,77,0,최지찬
178,37,30,78,0,최지찬
179,37,30,79,0,최지찬
180,35,22,44,0,승민이
182,35,30,80,0,승민이
184,14,23,51,0,장승호
185,35,30,82,0,승민이
186,35,32,114,0,승민이
187,35,32,124,0,승민이
188,35,32,124,0,승민이
189,14,25,57,0,장승호
192,14,25,58,0,장승호
193,14,25,59,0,장승호
194,14,25,60,0,장승호
195,14,25,61,0,장승호
196,14,26,62,0,장승호
197,14,26,63,0,장승호
198,34,30,113,0,송둔석
199,37,24,113,0,최지찬
200,37,32,124,0,최지찬
201,35,24,,0,승민이
202,35,24,,0,승민이
203,35,24,,0,승민이
204,35,24,,0,승민이
205,35,24,,0,승민이
206,35,24,,0,승민이
207,35,24,113,0,승민이
208,15,25,113,0,고정원
209,35,24,113,0,승민이
210,1,24,113,0,장승호
211,130,32,124,0,슬기
212,130,23,48,0,슬기
213,130,25,113,0,슬기
214,130,23,,0,슬기
215,37,32,124,0,최지찬
216,130,32,124,0,슬기
217,130,22,,0,슬기
218,37,32,,0,최지찬
219,130,24,,0,슬기
220,130,28,,0,슬기
221,37,32,124,0,최지찬
